transcription factors,cytokines and growth factors,cell differentiation markers,protein kinases,oncogenes,tumor suppresors
TAF4,,,,,
TAF4B,,,,,
TAF5,,,,,
TAF5L,,,,,
TAF6,,,,,
TAF6L,,,,,
TAF7,,,,,
TAF9,,,,,
TAL1,,,,,
TAL2,,,,,
TBC1D10B,,,,,
TBL1Y,,,,,
TBP,,,,,
TBPL1,,,,,
TBR1,,,,,
TBX1,,,,,
TBX10,,,,,
TBX15,,,,,
TBX18,,,,,
TBX19,,,,,
TBX2,,,,,
TBX20,,,,,
TBX21,,,,,
TBX22,,,,,
TBX3,,,,,
TBX4,,,,,
TBX5,,,,,
TBX6,,,,,
TBXT,,,,,
TCEAL1,,,,,
TCEAL9,,,,,
TCERG1,,,,,
TCF12,,,,,
TCF15,,,,,
TCF19,,,,,
TCF20,,,,,
TCF21,,,,,
TCF3,,,,,
TCF4,,,,,
TCF7,,,,,
TCF7L1,,,,,
TCF7L2,,,,,
TCFL5,,,,,
TEAD1,,,,,
TEAD2,,,,,
TEAD3,,,,,
TEAD4,,,,,
TECPR1,,,,,
TEF,,,,,
TFAM,,,,,
TFAP2A,,,,,
TFAP2B,,,,,
TFAP2C,,,,,
TFAP2D,,,,,
TFAP4,,,,,
TFB1M,,,,,
TFB2M,,,,,
TFCP2,,,,,
TFCP2L1,,,,,
TFDP1,,,,,
TFDP2,,,,,
TFDP3,,,,,
TFE3,,,,,
TFEB,,,,,
TFEC,,,,,
TGFB1I1,,,,,
TGIF1,,,,,
TGIF1P1,,,,,
TGIF2,,,,,
TGIF2LX,,,,,
TGIF2LY,,,,,
TGIF2P1,,,,,
THRA,,,,,
THRAP3,,,,,
THRB,,,,,
TICRR,,,,,
TIMELESS,,,,,
TLX1,,,,,
TLX2,,,,,
TLX3,,,,,
TMEM121B,,,,,
TMEM259,,,,,
TMEM260,,,,,
TMF1,,,,,
TNRC18P2,,,,,
TNRC6A,,,,,
TONSL,,,,,
TOX,,,,,
TOX3,,,,,
TP53,,,,,
TP53I13,,,,,
TP63,,,,,
TP73,,,,,
TPRX1,,,,,
TPRX1P1,,,,,
TPRX2,,,,,
TPRXL,,,,,
TRIM10,,,,,
TRIM13,,,,,
TRIM15,,,,,
TRIM22,,,,,
TRIM24,,,,,
TRIM25,,,,,
TRIM26,,,,,
TRIM27,,,,,
TRIM28,,,,,
TRIM3,,,,,
TRIM33,,,,,
TRIM38,,,,,
TRIM62,,,,,
TRIOBP,,,,,
TRIP10,,,,,
TRIP11,,,,,
TRIP13,,,,,
TRIP4,,,,,
TRIP6,,,,,
TRMT1,,,,,
TRPS1,,,,,
TSC22D1,,,,,
TSC22D2,,,,,
TSC22D3,,,,,
TSC22D4,,,,,
TSHZ1,,,,,
TSHZ2,,,,,
TSHZ3,,,,,
TTLL4,,,,,
TTLL5,,,,,
TUB,,,,,
TULP1,,,,,
TULP2,,,,,
TULP3,,,,,
TULP4,,,,,
TWIST1,,,,,
UBP1,,,,,
UBR4,,,,,
UBTF,,,,,
UHRF1,,,,,
ULK2,,,,,
UNCX,,,,,
USE1,,,,,
USF1,,,,,
USF2,,,,,
UTF1,,,,,
VAX1,,,,,
VAX2,,,,,
VDR,,,,,
VENTX,,,,,
VENTXP1,,,,,
VENTXP2,,,,,
VENTXP3,,,,,
VENTXP4,,,,,
VENTXP5,,,,,
VENTXP6,,,,,
VENTXP7,,,,,
VEZF1,,,,,
VGLL1,,,,,
VPS72,,,,,
VSX1,,,,,
VSX2,,,,,
WDR45B,,,,,
WT1,,,,,
XBP1,,,,,
YAF2,,,,,
YBX1,,,,,
YBX2,,,,,
YBX3,,,,,
YEATS4,,,,,
YY1,,,,,
ZAR1,,,,,
ZBTB11,,,,,
ZBTB14,,,,,
ZBTB16,,,,,
ZBTB17,,,,,
ZBTB18,,,,,
ZBTB20,,,,,
ZBTB21,,,,,
ZBTB22,,,,,
ZBTB24,,,,,
ZBTB25,,,,,
ZBTB32,,,,,
ZBTB33,,,,,
ZBTB38,,,,,
ZBTB39,,,,,
ZBTB40,,,,,
ZBTB43,,,,,
ZBTB47,,,,,
ZBTB48,,,,,
ZBTB6,,,,,
ZBTB7A,,,,,
ZBTB7B,,,,,
ZDHHC1,,,,,
ZDHHC17,,,,,
ZEB1,,,,,
ZEB2,,,,,
ZEB2P1,,,,,
ZFAND3,,,,,
ZFAND5,,,,,
ZFAND6,,,,,
ZFHX2,,,,,
ZFHX3,,,,,
ZFHX4,,,,,
ZFP28,,,,,
ZFP30,,,,,
ZFP36,,,,,
ZFP36L2,,,,,
ZFP37,,,,,
ZFP62,,,,,
ZFP64,,,,,
ZFP69B,,,,,
ZFP91,,,,,
ZFP92,,,,,
ZFPL1,,,,,
ZFPM1,,,,,
ZFPM2,,,,,
ZFR,,,,,
ZFX,,,,,
ZFY,,,,,
ZHX1,,,,,
ZHX2,,,,,
ZHX3,,,,,
ZIC1,,,,,
ZIC2,,,,,
ZIC3,,,,,
ZIC4,,,,,
ZIC5,,,,,
ZIM2,,,,,
ZKSCAN1,,,,,
ZKSCAN3,,,,,
ZKSCAN4,,,,,
ZKSCAN5,,,,,
ZKSCAN7,,,,,
ZKSCAN8,,,,,
ZMYM3,,,,,
ZMYM4,,,,,
ZMYM5,,,,,
ZMYM6,,,,,
ZMYND11,,,,,
ZNF10,,,,,
ZNF106,,,,,
ZNF107,,,,,
ZNF112,,,,,
ZNF117,,,,,
ZNF12,,,,,
ZNF123P,,,,,
ZNF124,,,,,
ZNF131,,,,,
ZNF132,,,,,
ZNF133,,,,,
ZNF134,,,,,
ZNF135,,,,,
ZNF136,,,,,
ZNF137P,,,,,
ZNF138,,,,,
ZNF14,,,,,
ZNF140,,,,,
ZNF141,,,,,
ZNF142,,,,,
ZNF143,,,,,
ZNF146,,,,,
ZNF148,,,,,
ZNF154,,,,,
ZNF155,,,,,
ZNF157,,,,,
ZNF16,,,,,
ZNF160,,,,,
ZNF165,,,,,
ZNF169,,,,,
ZNF17,,,,,
ZNF174,,,,,
ZNF175,,,,,
ZNF177,,,,,
ZNF18,,,,,
